gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
PBRM1,expression,0.005910295817300477,0.005910295817300477,1,down,Unknown,Unknown,Under investigation,Partial
RN7SL590P,expression,0.003734814148829642,0.003734814148829642,1,down,Unknown,Unknown,Under investigation,Partial
ADAM5,expression,0.003707220016527816,0.003707220016527816,1,up,Unknown,Unknown,Under investigation,Partial
SNORD38|ENSG00000207199.1,expression,0.0037070875364670236,0.0037070875364670236,1,up,Unknown,Unknown,Under investigation,Partial
LINC00964,expression,0.003694047794944158,0.003694047794944158,1,down,Unknown,Unknown,Under investigation,Partial
ADAM18,expression,0.003685739802326419,0.003685739802326419,1,up,Unknown,Unknown,Under investigation,Partial
LRP2,expression,0.003154921285408832,0.003154921285408832,1,down,Unknown,Unknown,Under investigation,Partial
PTEN,expression,0.0031257115929257044,0.0031247126514027538,2,down,TSG,PI3K-AKT,Loss -> PI3K dependence; alpelisib in PIK3CA co-mut; AKT inhibitors.,Yes
SETD2,expression,0.002949366773311118,0.002949366773311118,1,down,Unknown,Unknown,Under investigation,Partial
NF1,expression,0.002800907922563687,0.002800907922563687,1,down,Unknown,Unknown,Under investigation,Partial
EGFR,expression,9.435996554612992e-05,9.435996554612992e-05,1,down,Oncogene,EGFR-RAS,Erlotinib/gefitinib/osimertinib; EGFR-targeted ADC (amivantamab).,Yes
FAT3,expression,3.038067920291313e-05,3.038067920291313e-05,1,down,Unknown,Unknown,Under investigation,Partial
APOB,expression,1.2280068708277346e-05,1.2280068708277346e-05,1,down,Unknown,Unknown,Under investigation,Partial
CSMD1,expression,1.1115459161182537e-05,1.1115459161182537e-05,1,down,Unknown,Unknown,Under investigation,Partial
CNTNAP5,expression,1.0599501284493475e-05,1.0599501284493475e-05,1,down,Unknown,Unknown,Under investigation,Partial
NPAP1,expression,9.72944958434958e-06,9.72944958434958e-06,1,down,Unknown,Unknown,Under investigation,Partial
